domain,process,subprocess,model_coupled,parameter,default,unit,value,note
water,initial_conditions,initial_phyto,GLM-AED2,p_initial,10,mmol C m-3,10,Initial concentration of phytoplankton
water,initial_conditions,minimum_concentration,GLM-AED2,p0,0.03,mmol C m-3,0.03,minimum concentration of phytoplankton
water,initial_conditions,minimum_concentration,GLM-AED2,p0,0.03,mmol C m-3,0.03,minimum concentration of phytoplankton
water,growth,growth_rate,GLM-AED2,R_growth,3,d-1,3,Phyto max growth rate @20C
water,growth,growth_rate,GLM-AED2,R_growth,3,d-1,3,Phyto max growth rate @20C
water,growth,equation_options_temperature_limitation,GLM-AED2,fT_method,1,(integer),1,"1:, 2:"
water,growth,equation_options_temperature_limitation,GLM-AED2,fT_method,1,(integer),1,"1:, 2:"
water,growth,temperature_limitation,GLM-AED2,theta_growth,1.06,?,1.06,Arrhenius temperature multiplier for phytoplankton growth
water,growth,temperature_limitation,GLM-AED2,theta_growth,1.06,?,1.06,Arrhenius temperature multiplier for phytoplankton growth
water,growth,temperature_limitation,GLM-AED2,T_std,20,degC,20,standard_temperature
water,growth,temperature_limitation,GLM-AED2,T_std,20,degC,20,standard_temperature
water,growth,temperature_limitation,GLM-AED2,T_opt,25,degC,25,optimum_temperature
water,growth,temperature_limitation,GLM-AED2,T_opt,25,degC,25,optimum_temperature
water,growth,temperature_limitation,GLM-AED2,T_max,32,degC,32,maximum_temperature
water,growth,temperature_limitation,GLM-AED2,T_max,32,degC,32,maximum_temperature
water,growth,equation_options_light_limitation,GLM-AED2,lightModel,0,(integer),0,"1:, 2:"
water,growth,equation_options_light_limitation,GLM-AED2,lightModel,0,(integer),0,"1:, 2:"
water,growth,light_limitation,GLM-AED2,I_K,60,micro E m-2 s-1,60,saturation_concentration
water,growth,light_limitation,GLM-AED2,I_K,60,micro E m-2 s-1,60,saturation_concentration
water,growth,light_limitation,GLM-AED2,I_S,150,micro E m-2 s-1,150,saturation_intensity
water,growth,light_limitation,GLM-AED2,I_S,150,micro E m-2 s-1,150,saturation_intensity
water,growth,equation_options_salt_limitation,GLM-AED2,salTol,0,(integer),0,"1:, 2:"
water,growth,equation_options_salt_limitation,GLM-AED2,salTol,0,(integer),0,"1:, 2:"
water,growth,salt_limitation,GLM-AED2,S_bep,2,?,2,salinity_limitation
water,growth,salt_limitation,GLM-AED2,S_bep,2,?,2,salinity_limitation
water,growth,salt_limitation,GLM-AED2,S_maxsp,35,g kg-1,35,salinity_maximum
water,growth,salt_limitation,GLM-AED2,S_maxsp,35,g kg-1,35,salinity_maximum
water,growth,salt_limitation,GLM-AED2,S_opt,1,g kg-1,1,salinity_optimum
water,growth,salt_limitation,GLM-AED2,S_opt,1,g kg-1,1,salinity_optimum
water,growth,equation_options_n_limitation,GLM-AED2,simDINUptake,1,(integer),1,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simDINUptake,1,(integer),1,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simDONUptake,0,(integer),0,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simDONUptake,0,(integer),0,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simNFixation,0,(integer),0,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simNFixation,0,(integer),0,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simINDynamics,1,(integer),1,"1:, 2:"
water,growth,equation_options_n_limitation,GLM-AED2,simINDynamics,1,(integer),1,"1:, 2:"
water,growth,n_limitation,GLM-AED2,N_o,0,mmol N m-2,0,minimum_concentration
water,growth,n_limitation,GLM-AED2,N_o,0,mmol N m-2,0,minimum_concentration
water,growth,n_limitation,GLM-AED2,K_N,3.5,mmol N m-3,3.5,saturation_concentration
water,growth,n_limitation,GLM-AED2,K_N,3.5,mmol N m-3,3.5,saturation_concentration
water,growth,n_limitation,GLM-AED2,X_ncon,0.035,mmol N mmol C-1,0.035,constant_concentration
water,growth,n_limitation,GLM-AED2,X_ncon,0.035,mmol N mmol C-1,0.035,constant_concentration
water,growth,n_limitation,GLM-AED2,X_nmin,0.06,mmol N mmol C-0,0.06,minimum_concentration
water,growth,n_limitation,GLM-AED2,X_nmin,0.06,mmol N mmol C-0,0.06,minimum_concentration
water,growth,n_limitation,GLM-AED2,X_nmax,0.206,mmol N mmol C-1,0.206,maximum_concentration
water,growth,n_limitation,GLM-AED2,X_nmax,0.206,mmol N mmol C-1,0.206,maximum_concentration
water,growth,n_limitation,GLM-AED2,R_nuptake,0.068,?,0.068,maximum_uptake
water,growth,n_limitation,GLM-AED2,R_nuptake,0.068,?,0.068,maximum_uptake
water,growth,n_limitation,GLM-AED2,k_nfix,0.67,?,0.67,growth_rate_reduction
water,growth,n_limitation,GLM-AED2,k_nfix,0.67,?,0.67,growth_rate_reduction
water,growth,n_limitation,GLM-AED2,R_nfix,0.13,mmol N mmol C-1 d-1,0.13,fixation_rate
water,growth,n_limitation,GLM-AED2,R_nfix,0.13,mmol N mmol C-1 d-1,0.13,fixation_rate
water,growth,equation_options_p_limitation,GLM-AED2,simDIPUptake,1,(integer),1,DIP_model
water,growth,equation_options_p_limitation,GLM-AED2,simDIPUptake,1,(integer),1,DIP_model
water,growth,equation_options_p_limitation,GLM-AED2,simIPDynamics,2,(integer),2,IP_model
water,growth,equation_options_p_limitation,GLM-AED2,simIPDynamics,2,(integer),2,IP_model
water,growth,p_limitation,GLM-AED2,P_0,0,mmol P m-3,0,minimum_concentration
water,growth,p_limitation,GLM-AED2,P_0,0,mmol P m-3,0,minimum_concentration
water,growth,p_limitation,GLM-AED2,K_P,0.5,mmol P m-3,0.5,saturation_concentration
water,growth,p_limitation,GLM-AED2,K_P,0.5,mmol P m-3,0.5,saturation_concentration
water,growth,p_limitation,GLM-AED2,X_pcon,0.0015,mmol Pmmol C-1,0.0015,constant_concentration
water,growth,p_limitation,GLM-AED2,X_pcon,0.0015,mmol Pmmol C-1,0.0015,constant_concentration
water,growth,p_limitation,GLM-AED2,X_pmin,0.0019,mmol Pmmol C-1,0.0019,minimum_concentration
water,growth,p_limitation,GLM-AED2,X_pmin,0.0019,mmol Pmmol C-1,0.0019,minimum_concentration
water,growth,p_limitation,GLM-AED2,X_pmax,0.0089,mmol Pmmol C-1,0.0089,maximum_concentration
water,growth,p_limitation,GLM-AED2,X_pmax,0.0089,mmol Pmmol C-1,0.0089,maximum_concentration
water,growth,p_limitation,GLM-AED2,R_puptake,0.0039,mmol P m-3 d-1,0.0039,maximum_uptake
water,growth,p_limitation,GLM-AED2,R_puptake,0.0039,mmol P m-3 d-1,0.0039,maximum_uptake
water,growth,equation_options_si_limitation,GLM-AED2,simSiUptake,0,(integer),0,"1:, 2:"
water,growth,equation_options_si_limitation,GLM-AED2,simSiUptake,0,(integer),0,"1:, 2:"
water,growth,si_limitation,GLM-AED2,Si_0,0,mmol Si m-3,0,minimum_concentration
water,growth,si_limitation,GLM-AED2,Si_0,0,mmol Si m-3,0,minimum_concentration
water,growth,si_limitation,GLM-AED2,K_Si,0,mmol Si m-3,0,saturation_concentration
water,growth,si_limitation,GLM-AED2,K_Si,0,mmol Si m-3,0,saturation_concentration
water,growth,si_limitation,GLM-AED2,X_sicon,0,mmol Si mmol C-1,0,constant_concentration
water,growth,si_limitation,GLM-AED2,X_sicon,0,mmol Si mmol C-1,0,constant_concentration
water,light,light_attenuation,GLM-AED2,KePHY,0.005,mmol C m-3 m-1,0.005,attenuation_coefficient
water,light,light_attenuation,GLM-AED2,KePHY,0.005,mmol C m-3 m-1,0.005,attenuation_coefficient
water,respiration,composition,GLM-AED2,f_pr,0.005,?,0.005,fraction
water,respiration,composition,GLM-AED2,f_pr,0.005,?,0.005,fraction
water,respiration,respiration_rate,GLM-AED2,R_resp,0.085,?,0.085,respiration_rate
water,respiration,respiration_rate,GLM-AED2,R_resp,0.085,?,0.085,respiration_rate
water,respiration,respiration_rate,GLM-AED2,theta_resp,1.12,?,1.12,Arrhenius temperature multiplier for phytoplankton respiration
water,respiration,respiration_rate,GLM-AED2,theta_resp,1.12,?,1.12,Arrhenius temperature multiplier for phytoplankton respiration
water,respiration,composition,GLM-AED2,k_fres,0.25,?,0.25,fraction_trueRespiration
water,respiration,composition,GLM-AED2,k_fres,0.25,?,0.25,fraction_trueRespiration
water,respiration,composition,GLM-AED2,k_fdom,0.2,?,0.2,fraction_DOM
water,respiration,composition,GLM-AED2,k_fdom,0.2,?,0.2,fraction_DOM
water,vertical_movement,vertical_velocity,GLM-AED2,w_p,0,m d-1,0,Sedimentation rate (negative is downwards)
water,vertical_movement,vertical_velocity,GLM-AED2,w_p,0,m d-1,0,Sedimentation rate (negative is downwards)
water,stoichiometry,chlorophyll_ratio,GLM-AED2,Xcc,50,mg C mg Chla-1,50,carbon : chlorophyll a ratio
water,stoichiometry,chlorophyll_ratio,GLM-AED2,Xcc,50,mg C mg Chla-1,50,carbon : chlorophyll a ratio
