"domain","process","subprocess","model_coupled","parameter","default","unit","value","note"
"water","denitrification","nitrate_reduc_to_ammonium","GLM-AED2","Rdnra","0.01","?","","rate of dissimilatory nitrate reduction to ammonium"
"water","denitrification","nitrate_reduc_to_ammonium","GLM-AED2","Rdnra","0.01","?","","rate of dissimilatory nitrate reduction to ammonium"
"water","denitrification","nitrate_reduc_to_ammonium","GLM-AED2","Kdnra_oxy","2","?","","saturation concentration in DNRA equation"
"water","denitrification","nitrate_reduc_to_ammonium","GLM-AED2","Kdnra_oxy","2","?","","saturation concentration in DNRA equation"
"water","initial_conditions","initial_ammonium","GLM-AED2","amm_initial","2.6","mmol N m-3","","initial NH4 concentration"
"water","initial_conditions","initial_ammonium","GLM-AED2","amm_initial","2.6","mmol N m-3","","initial NH4 concentration"
"water","initial_conditions","initial_ammonium","GOTM-Selmaprotbas","aa","none","mmol N m-3","","initial dissolved ammonium in the water column"
"water","initial_conditions","initial_ammonium","GOTM-WET","sNH4W",NA,"g/m3","","ammonium"
"water","initial_conditions","initial_dom","GOTM-WET","sNDOMW",NA,"g/m3","","dissolved organic N"
"water","initial_conditions","initial_n2o","GLM-AED2","n2o_initial","0.1","?","","initial n2o in the water column"
"water","initial_conditions","initial_n2o","GLM-AED2","n2o_initial","0.1","?","","initial n2o in the water column"
"water","initial_conditions","initial_nitrate","GLM-AED2","nit_initial","0.1","mmol N m-3","","initial NO3 concentration"
"water","initial_conditions","initial_nitrate","GLM-AED2","nit_initial","0.1","mmol N m-3","","initial NO3 concentration"
"water","initial_conditions","initial_nitrate","GOTM-Selmaprotbas","nn","none","mmol N m-3","","initial dissolved nitrate in the water column"
"water","initial_conditions","initial_nitrate","GOTM-WET","sNO3W",NA,"g/m3","","nitrate"
"water","initial_conditions","initial_pom","GOTM-Selmaprotbas","dd_n","none","mmol N m-3","","initial detritus-N in the water column"
"water","initial_conditions","initial_pom","GOTM-WET","sNPOMW",NA,"g/m3","","particulate organic N"
"water","nitrification","equation_options","GLM-AED2","simN2O","0","(integer)","","1: ; 2:"
"water","nitrification","equation_options","GLM-AED2","simN2O","0","(integer)","","1: ; 2:"
"water","nitrification","nitrification","GLM-AED2","Rn2o","0.05","?","","reaction rate"
"water","nitrification","nitrification","GLM-AED2","Rn2o","0.05","?","","reaction rate"
"water","nitrification","nitrification","GLM-AED2","Rnitrif","0.5","d-1","","maximum reaction rate of nitrification @ 20C"
"water","nitrification","nitrification","GLM-AED2","Rnitrif","0.5","d-1","","maximum reaction rate of nitrification @ 20C"
"water","nitrification","nitrification","GLM-AED2","Rnh4o2","1","?","","reaction rate"
"water","nitrification","nitrification","GLM-AED2","Rnh4o2","1","?","","reaction rate"
"water","nitrification","nitrification","GLM-AED2","Rno2o2","1","?","","reaction rate"
"water","nitrification","nitrification","GLM-AED2","Rno2o2","1","?","","reaction rate"
"water","nitrification","nitrification","GLM-AED2","theta_nitrif","1.08","-","","Arrhenius temperature multiplier for nitrification"
"water","nitrification","nitrification","GLM-AED2","theta_nitrif","1.08","-","","Arrhenius temperature multiplier for nitrification"
"water","nitrification","nitrification","GLM-AED2","Knitrif","78.1","?","","saturation concentration for nitrification"
"water","nitrification","nitrification","GLM-AED2","Knitrif","78.1","?","","saturation concentration for nitrification"
"water","nitrification","nitrification","GOTM-WET","kNitrW","0.3","1/d","","nitrification rate constant in water at 20*C"
"water","nitrification","nitrification","GOTM-WET","cThetaNitrW","1.03","1/e^*C","","temperature coefficient for nitrification"
"water","nitrification","nitrification","GOTM-WET","hO2Nitr","2","mgO2/l","","half saturation oxygen conc. for nitrification"
"water","nitrification","nitrification","GOTM-WET","O2PerNH4W","2","mol/mol","","used O2 per NH4 nitrified"
"water","water_atmosphere_exchange","ammonium","GOTM-WET","tNDepoNH4","0","g/m2/d","","ammonium deposition"
"water","water_atmosphere_exchange","n2o","GLM-AED2","atm_n2o","3.20E-07","?","","atmospheric concentration of n2o"
"water","water_atmosphere_exchange","n2o","GLM-AED2","atm_n2o","3.20E-07","?","","atmospheric concentration of n2o"
"water","water_atmosphere_exchange","n2o","GLM-AED2","n2o_piston_model","4","(integer)","","1: ; 2:"
"water","water_atmosphere_exchange","n2o","GLM-AED2","n2o_piston_model","4","(integer)","","1: ; 2:"
"water","water_atmosphere_exchange","nitrate","GOTM-WET","tNDepoNO3","0","g/m2/d","","nitrate deposition"
"water","water_atmosphere_exchange","pom","GOTM-WET","tNDepoPOM","0","organic matter depositio","",NA
