datetime,depth,flagdepth,ph,flagph,doc,flagdoc,no3no2,flagno3no2,no2,flagno2,nh4,flagnh4,totnuf,flagtotnuf,totpuf,flagtotpuf,drsif,flagdrsif,totnuf_sloh,flagtotnuf_sloh,no3no2_sloh,flagno3no2_sloh,nh4_sloh,flagnh4_sloh,totpuf_sloh,flagtotpuf_sloh,drp_sloh,flagdrp_sloh,drsif_sloh,flagdrsif_sloh
1996-07-08,0,"",9.1,"",7.38,"",,"",,,,"",,"",,"",,"",,"",0.443,"",0,S,0.068,"",0.023,"",0.756,""
1996-07-08,4,"",9.05,"",7.77,"",,"",,,,"",,"",,"",,"",,"",0.458,"",0,S,0.065,"",0.024,"",0.695,""
1996-07-08,4,"",9.08,"",7.29,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-07-08,8,"",8.53,"",6.95,"",,"",,,,"",,"",,"",,"",,"",0.555,"",0.214,"",0.118,"",0.083,"",0.883,""
1996-07-08,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.794,"",0.118,"",0.118,"",0.105,"",0.874,""
1996-07-08,12,"",7.89,"",6.81,"",,"",,,,"",,"",,"",,"",,"",1.02,"",0,S,0.152,"",0.139,"",1.22,""
1996-07-08,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",1.04,"",0.046,R,0.169,"",0.151,"",1.36,""
1996-07-08,16,"",7.74,"",6.9,"",,"",,,,"",,"",,"",,"",,"",0.825,"",0.317,"",0.208,"",0.194,"",1.69,""
1996-07-08,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.537,"",0.642,"",0.234,"",0.224,"",2.01,""
1996-07-08,20,"",7.73,"",6.68,"",,"",,,,"",,"",,"",,"",,"",0.453,"",0.736,"",0.248,"",0.238,"",2.17,""
1996-07-08,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.296,"",0.945,"",0.289,"",0.274,"",2.42,""
1996-07-22,0,"",9.03,"",,"",,"",,,,"",,"",,"",,"",,"",0.144,"",0,S,0.056,"",0,Q,1.02,""
1996-07-22,4,"",9.01,"",,"",,"",,,,"",,"",,"",,"",,"",0.15,"",0,S,0.054,"",0,Q,1.02,""
1996-07-22,4,"",9.02,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-08-05,0,"",8.9,"",3.6,"",,"",,,,"",,"",,"",,"",,"",0.036,"",0,S,0.035,"",0,S,1.24,""
1996-08-05,4,"",8.94,"",3.52,"",,"",,,,"",,"",,"",,"",,"",0.023,R,0,S,0.035,"",0,S,1.27,""
1996-08-05,8,"",8.86,"",3.58,"",,"",,,,"",,"",,"",,"",,"",0.036,"",0,S,0.037,"",0,S,1.29,""
1996-08-05,10,"",7.58,"",,"",,"",,,,"",,"",,"",,"",,"",0.646,"",0.245,"",0.188,"",0.117,"",1.54,""
1996-08-05,12,"",,"",3.09,"",,"",,,,"",,"",,"",,"",,"",0.563,"",0.319,"",0.222,"",0.214,"",1.72,""
1996-08-05,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.573,"",0.334,"",0.239,"",0.238,"",1.8,""
1996-08-05,16,"",7.59,"",3.01,"",,"",,,,"",,"",,"",,"",,"",0.587,"",0.385,"",0.265,"",0.258,"",1.87,""
1996-08-05,16,"",7.59,"",3.03,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-08-05,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.197,"",0.782,"",0.329,"",0.318,"",2.3,""
1996-08-05,20,"",7.55,"",3.07,"",,"",,,,"",,"",,"",,"",,"",0,S,1.16,"",0.368,"",0.378,"",2.66,""
1996-08-05,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.56,"",0.472,"",0.462,"",3.1,Q
1996-08-19,0,"",8.88,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.032,"",0.002,R,1.4,""
1996-08-19,4,"",8.9,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.024,R,0,S,1.36,""
1996-08-19,4,"",8.9,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-09-05,0,"",8.79,"",6.7,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.014,R,0,S,1.833,Q
1996-09-05,4,"",8.76,"",6.17,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.019,R,0,S,1.439,Q
1996-09-05,8,"",8.2,"",,C,,"",,,,"",,"",,"",,"",,"",0.033,"",0.074,R,0.014,Q,0.002,R,1.586,Q
1996-09-05,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.3,"",0.264,"",0.072,Q,0.067,"",1.627,Q
1996-09-05,12,"",7.48,"",5.99,"",,"",,,,"",,"",,"",,"",,"",0.323,"",0.418,"",0.237,Q,0.195,"",1.857,Q
1996-09-05,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.176,"",0.632,"",0.301,Q,0.255,"",2.409,Q
1996-09-05,16,"",7.4,"",6,"",,"",,,,"",,"",,"",,"",,"",0,S,1,"",0.385,Q,0.34,"",2.525,Q
1996-09-05,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.8,"",0.516,Q,0.44,"",3.261,Q
1996-09-05,20,"",7.3,"",6.66,"",,"",,,,"",,"",,"",,"",,"",0,S,2.34,"",0.569,"",0.52,"",3.763,Q
1996-09-05,20,"",7.3,"",6.81,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-09-05,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,2.22,"",0.582,Q,0.52,"",3.823,Q
1996-09-16,0,"",8.55,"",,"",,"",,,,"",,"",,"",,"",,"",0.056,"",0,S,0.029,R,0.004,R,2.079,Q
1996-09-16,0,"",8.55,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-09-16,4,"",8.55,"",,"",,"",,,,"",,"",,"",,"",,"",0.053,"",0,S,0.032,"",0.003,R,1.467,Q
1996-10-16,0,"",8.31,"",,D,,"",,,,"",,"",,"",,"",,"",,Q,0.311,"",0.116,"",0.089,"",1.68,""
1996-10-16,4,"",8.22,"",6.26,"",,"",,,,"",,"",,"",,"",,"",0.043,Q,0.336,"",0.104,"",0.093,"",1.61,""
1996-10-16,4,"",8.18,"",6.19,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-10-16,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-11-08,0,"",8.07,"",,C,,"",,,,"",,"",,"",,"",,"",0.081,"",0.524,"",0.137,"",0.126,"",1.34,""
1996-11-08,4,"",8.07,"",,D,,"",,,,"",,"",,"",,"",,"",0.081,"",0.547,"",0.135,"",0.125,"",1.34,""
1996-11-08,4,"",8.05,"",6.33,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-11-08,8,"",8.06,"",5.41,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-11-08,20,"",8.05,"",4.32,"",,"",,,,"",,"",,"",,"",,"",0.083,"",0.555,"",0.134,"",0.126,"",1.33,""
1996-11-25,0,"",8.61,"",6.61,"",,"",,,,"",,"",,"",,"",,"",0.13,"",0.549,"",0.132,"",0.109,"",0.191,""
1996-11-25,0,"",,"",6.21,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-11-25,4,"",8.56,"",6.83,"",,"",,,,"",,"",,"",,"",,"",0.13,"",0.542,"",0.134,"",0.114,"",0.203,""
1997-01-14,1,"",8.27,"",,C,,"",,,,"",,"",,"",,"",,"",0.225,"",0.47,"",0.137,"",0.099,"",0.181,""
1997-01-14,1,"",8.3,"",,C,,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-01-14,4,"",8.32,"",,C,,"",,,,"",,"",,"",,"",,"",0.24,"",0.472,"",0.122,"",0.099,"",0.151,""
1997-02-17,1,"",8.47,"",6.34,"",,"",,,,"",,"",,"",,"",,"",0.23,Q,0.491,"",0.123,"",0.116,"",0.168,Q
1997-02-17,1,"",8.52,"",6.42,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-02-17,4,"",8.5,"",,"",,"",,,,"",,"",,"",,"",,"",0.258,Q,0.496,"",0.122,"",0.117,"",0.167,Q
1997-02-17,8,"",8.49,"",6.29,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-02-17,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.121,"",0.114,"",,""
1997-02-17,16,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.121,"",0.122,"",,""
1997-02-17,20,"",8.15,"",6.21,"",,"",,,,"",,"",,"",,"",,"",0.378,Q,0.587,"",0.151,"",0.234,"",2.369,Q
1997-04-09,0,"",8.35,"",5.88,"",,"",,,,"",,"",,"",,"",,"",0.6,"",0.201,"",0.148,"",0.099,"",0,S
1997-04-09,0,"",8.38,"",6.47,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-04-09,4,"",8.42,"",6.62,"",,"",,,,"",,"",,"",,"",,"",0.598,"",0.217,"",0.154,"",0.099,"",0,S
1997-04-21,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.134,"",0.098,"",,""
1997-04-21,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.143,"",0.099,"",,""
1997-05-02,0,"",8.46,"",6.36,"",,"",,,,"",,"",,"",,"",,"",0.628,"",0.188,"",0.123,"",0.096,"",0.14,""
1997-05-02,0,"",8.4,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-05-02,4,"",8.5,"",6.23,"",,"",,,,"",,"",,"",,"",,"",0.627,"",0.205,"",0.15,"",0.096,"",0.138,""
1997-05-02,8,"",8.45,"",6.23,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-05-02,8,"",,"",6.23,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-05-02,20,"",8.5,"",6.29,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-05-13,0,"",8.47,"",,D,,"",,,,"",,"",,"",,"",,"",0.601,"",0.231,"",0.12,"",0.103,"",0.244,""
1997-05-13,0,"",8.41,"",6.71,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-05-13,4,"",8.42,"",7.04,"",,"",,,,"",,"",,"",,"",,"",0.599,"",0.229,"",0.128,"",0.105,"",0.23,""
1997-05-28,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.597,"",0.277,"",0.155,"",0.105,"",0.371,""
1997-05-28,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.592,"",0.265,"",0.16,"",0.105,"",0.395,""
1997-06-11,0,"",8.6,"",8.08,"",,"",,,,"",,"",,"",,"",,"",0.568,"",0.173,"",0.11,"",0.081,"",0.422,""
1997-06-11,4,"",8.55,"",6.45,"",,"",,,,"",,"",,"",,"",,"",0.579,"",0.176,"",0.119,"",0.089,"",0.405,""
1997-06-11,4,"",,"",6.2,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-06-11,8,"",8.46,"",6.72,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.121,"",0.085,"",,""
1997-06-11,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.115,"",0.093,"",,""
1997-06-11,12,"",8.41,"",6.36,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.121,"",0.109,"",,""
1997-06-11,12,"",8.28,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1997-06-11,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.128,"",0.119,"",,""
1997-06-11,16,"",8.14,"",6,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.154,"",0.131,"",,""
